SKU,Assigned_Slot,rack,bay,level,priority_score,total_demand,volatility,order_frequency,distance_to_dispatch,x_coord,y_coord
M2N3SG137,R09-B24-L07,9,24,7,0.17155050282272932,136,6.131883886702357,16,20.5,20.0,27.0
M2N3SG014,R09-B24-L01,9,24,1,0.17120455367781226,248,9.025434146813192,26,20.5,20.0,27.0
M2N3SG013,R19-B18-L03,19,18,3,0.17120455367781226,248,9.025434146813192,26,16.5,45.0,21.0
M16280299,R09-B24-L02,9,24,2,0.17114579865439652,96,5.116817192534651,12,20.5,20.0,27.0
M2N3SG011,R10-B22-L04,10,22,4,0.1710001805223607,480,14.606972183297824,45,18.5,24.0,25.0
M16280417,R20-B22-L05,20,22,5,0.17029681610033565,22,2.1908902300206643,5,16.5,49.0,25.0
M16280557,R13-B19-L03,13,19,3,0.1700761607318799,10,1.5275252316519468,3,15.5,30.0,22.0
M16280230,R19-B18-L06,19,18,6,0.1699657830962576,40,3.5023801430836525,6,16.5,45.0,21.0
M2N3R0625,R16-B14-L07,16,14,7,0.1689210274861012,128,5.676462121975467,18,14.5,39.0,17.0
M2N3SG069,R14-B17-L05,14,17,5,0.16874859744089027,272,9.803110997110808,29,13.5,34.0,20.0
M16280345,R20-B22-L03,20,22,3,0.16868768005672494,32,2.5727509827123995,7,16.5,49.0,25.0
M2N3SG135,R16-B16-L06,16,16,6,0.16862234623880343,120,5.916079783099616,15,12.5,39.0,19.0
M2N3R0416,R19-B19-L02,19,19,2,0.16845956246038513,308,10.877914885586504,31,15.5,45.0,22.0
M2N3SG130,R13-B19-L07,13,19,7,0.16832797024849278,160,6.813299687492027,20,15.5,30.0,22.0
M2N3SG031,R13-B19-L06,13,19,6,0.1680180287186065,48,4.427188724235731,6,15.5,30.0,22.0
M2N3B0209,R16-B16-L02,16,16,2,0.16787225335647077,36,8.48528137423857,2,12.5,39.0,19.0
M16280191,R09-B24-L03,9,24,3,0.16784970072862426,56,4.618802153517006,7,20.5,20.0,27.0
M16280297,R11-B23-L05,11,23,5,0.1677149629459428,18,4.242640687119285,2,16.5,25.0,26.0
M16280543,R18-B18-L01,18,18,1,0.1677149629459428,18,4.242640687119285,2,15.5,44.0,21.0
M16280057,R13-B19-L01,13,19,1,0.1677149629459428,18,4.242640687119285,2,15.5,30.0,22.0
M16280219,R19-B19-L03,19,19,3,0.1677149629459428,18,4.242640687119285,2,15.5,45.0,22.0
M16280237,R18-B18-L02,18,18,2,0.16766253280910012,12,2.8284271247461903,2,15.5,44.0,21.0
M16280576,R20-B21-L01,20,21,1,0.16766253280910012,12,2.8284271247461903,2,17.5,49.0,24.0
M16280248,R10-B24-L01,10,24,1,0.16766253280910012,12,2.8284271247461903,2,16.5,24.0,27.0
M16280289,R20-B21-L07,20,21,7,0.16766253280910012,12,2.8284271247461903,2,17.5,49.0,24.0
M16280556,R10-B24-L04,10,24,4,0.16761010267225745,6,1.4142135623730951,2,16.5,24.0,27.0
M16280253,R17-B14-L05,17,14,5,0.16761010267225745,6,1.4142135623730951,2,15.5,40.0,17.0
M16280497,R20-B22-L02,20,22,2,0.16758388760383613,3,0.7071067811865476,2,16.5,49.0,25.0
M16280565,R18-B18-L07,18,18,7,0.16758388760383613,3,0.7071067811865476,2,15.5,44.0,21.0
M16280564,R11-B21-L07,11,21,7,0.16758388760383613,3,0.7071067811865476,2,18.5,25.0,24.0
M16280566,R17-B16-L06,17,16,6,0.16758388760383613,3,0.7071067811865476,2,13.5,40.0,19.0
M2N3SG133,R11-B22-L04,11,22,4,0.1675354682154507,88,5.0512524699475785,12,17.5,25.0,25.0
M16280274,R20-B21-L03,20,21,3,0.1674766385610639,14,2.309401076758503,3,17.5,49.0,24.0
M16280433,R15-B16-L07,15,16,7,0.16691263516127325,36,3.023715784073818,7,13.5,35.0,19.0
M2N3G1452,R10-B23-L05,10,23,5,0.1668522143571519,90,5.546497666423052,11,17.5,24.0,26.0
M16280464,R15-B16-L05,15,16,5,0.16649874814264692,41,3.9200340134578764,6,13.5,35.0,19.0
M2N3G3003,R10-B23-L06,10,23,6,0.16604673660158542,300,13.157290211676784,21,17.5,24.0,26.0
M16280327,R11-B22-L01,11,22,1,0.16598880825703627,32,3.5777087639996634,5,17.5,25.0,25.0
M16280257,R20-B21-L05,20,21,5,0.16598880825703627,32,3.5777087639996634,5,17.5,49.0,24.0
M16280103,R15-B16-L06,15,16,6,0.16571325519368946,84,6.082762530298219,9,13.5,35.0,19.0
M16280529,R15-B16-L01,15,16,1,0.16569308824846943,70,9.574271077563381,4,13.5,35.0,19.0
M2N3SG022,R22-B23-L01,22,23,1,0.16541844680229806,144,6.790997501017324,18,20.5,54.0,26.0
M2N3R7240,R17-B16-L04,17,16,4,0.16522240403353777,528,20.83038074315402,28,13.5,40.0,19.0
M16280569,R11-B22-L03,11,22,3,0.16512805396911778,29,2.8577380332470415,6,17.5,25.0,25.0
M2N3R0430,R15-B15-L07,15,15,7,0.16472663929172462,100,4.47213595499958,20,14.5,35.0,18.0
M16280519,R10-B23-L07,10,23,7,0.16453062155499182,60,6.0332412515993425,6,17.5,24.0,26.0
M16280390,R20-B21-L06,20,21,6,0.16428612841433884,9,1.2583057392117916,4,17.5,49.0,24.0
M16280339,R21-B21-L02,21,21,2,0.164162177684577,36,3.63318042491699,6,18.5,50.0,24.0
M16280493,R22-B23-L03,22,23,3,0.16409865440670612,29,2.9268868558020253,6,20.5,54.0,26.0
M2N3SG018,R18-B18-L05,18,18,5,0.16354375010009545,120,6.48074069840786,15,15.5,44.0,21.0
M2N3SG050,R11-B21-L03,11,21,3,0.1634756355140112,96,5.9696200579570915,12,18.5,25.0,24.0
M2N3G7142,R15-B16-L02,15,16,2,0.16338899711535587,102,4.068641807021866,26,13.5,35.0,19.0
M16280538,R20-B21-L02,20,21,2,0.16332434833494627,48,6.928203230275509,4,17.5,49.0,24.0
M16280525,R10-B22-L01,10,22,1,0.1628910296390117,30,4.358898943540674,4,18.5,24.0,25.0
M2N3G9088,R22-B23-L05,22,23,5,0.16285606035316666,100,4.735704866732651,19,20.5,54.0,26.0
M2N3SG017,R17-B16-L03,17,16,3,0.16265533144252464,152,7.50076248847387,18,13.5,40.0,19.0
M16280471,R12-B19-L04,12,19,4,0.16245753454451972,36,4.381780460041329,5,16.5,29.0,22.0
M16280445,R11-B21-L04,11,21,4,0.16245753454451972,36,4.381780460041329,5,18.5,25.0,24.0
M16280101,R15-B16-L03,15,16,3,0.16216502288944495,48,9.16515138991168,3,13.5,35.0,19.0
GCA0407A0-AD,R15-B16-L04,15,16,4,0.16201001485975172,280,16.603984693208666,14,13.5,35.0,19.0
M16280466,R22-B23-L04,22,23,4,0.1615770491358815,18,3.4641016151377544,3,20.5,54.0,26.0
M2N3G7737,R11-B22-L06,11,22,6,0.16062793187064067,122,4.719244046223515,30,17.5,25.0,25.0
ACL00213A0010-P,R17-B16-L01,17,16,1,0.16057930912630475,2140,164.47017833163423,14,13.5,40.0,19.0
M16280474,R17-B16-L05,17,16,5,0.16020775842637114,28,3.5777087639996634,5,13.5,40.0,19.0
M16280421,R11-B22-L02,11,22,2,0.16020775842637114,28,3.5777087639996634,5,17.5,25.0,25.0
M16280568,R21-B21-L05,21,21,5,0.1599544777822005,22,3.415650255319866,4,18.5,50.0,24.0
M2N3SG016,R11-B21-L06,11,21,6,0.1598836361546958,124,6.836178269569434,16,18.5,25.0,24.0
M2N3SG140,R15-B14-L03,15,14,3,0.15973056496469576,61,6.019808571549035,7,15.5,35.0,17.0
M16280188,R17-B16-L07,17,16,7,0.15971932732663133,46,5.125101625008686,6,13.5,40.0,19.0
M16280256,R20-B20-L04,20,20,4,0.15969326499479009,40,3.2446537223219645,9,18.5,49.0,23.0
M16280439,R10-B22-L06,10,22,6,0.159681471619122,32,3.559026084010437,6,18.5,24.0,25.0
M16280279,R10-B22-L07,10,22,7,0.15938061552348903,54,8.54400374531753,4,18.5,24.0,25.0
M2N3G1391,R11-B21-L01,11,21,1,0.15930990921082927,234,10.92635718733748,22,18.5,25.0,24.0
M2N3SG052,R18-B18-L04,18,18,4,0.15929997735292062,88,6.260990336999411,11,15.5,44.0,21.0
M16280416,R22-B23-L06,22,23,6,0.15911471248922085,20,3.1622776601683795,4,20.5,54.0,26.0
GCA0201A0-SD,R20-B20-L07,20,20,7,0.15902666828545986,1600,61.3298994140464,42,18.5,49.0,23.0
M2N3SG139,R21-B21-L04,21,21,4,0.15887349895899336,120,7.0,15,18.5,50.0,24.0
M2N3SG057,R10-B22-L03,10,22,3,0.15879670451865327,144,7.795171959767977,17,18.5,24.0,25.0
GCA0201A0-BD,R21-B21-L07,21,21,7,0.15830354577982034,240,16.711454971746992,12,18.5,50.0,24.0
M2N3SG062,R21-B21-L03,21,21,3,0.15772487501596608,152,8.370114905388801,17,18.5,50.0,24.0
ACL000213B0050,R17-B16-L02,17,16,2,0.15757072887630824,836,50.22603320753795,17,13.5,40.0,19.0
